nick,title,hour,date_posted,num_replys,find_helpful,awarded,num_user_products,content_text,user_reviews_cursor
16293029,推荐,"['总时数', '30.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,很好,AoJ4h7+q1psDe4r6tgY=
347885352,推荐,"['总时数', '15.3', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩,AoJ4h7O01JsDfJXZtgY=
大疯酱,推荐,"['总时数', '49.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 93  项产品,非常不错,AoJ4h7O01JsDfJXZtgY=
stars_txx,推荐,"['总时数', '200.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,孙悟空的故事在幼年已经开始陪伴自己，谁都有一颗做齐天大圣的梦想，游戏本身画质好，故事情节引人入胜，战斗系统丰富，跟BOSS斗智斗勇，乐在其中,AoJ4h7O01JsDfJXZtgY=
帅的被人砍,推荐,"['总时数', '12.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 3  项产品,GOOD ,AoJ4h7O01JsDfJXZtgY=
3111978664,推荐,"['总时数', '45.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 19  项产品,好,AoJ4h7O01JsDfJXZtgY=
1325520430,推荐,"['总时数', '284.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 2  项产品,很好玩的游戏,AoJ4h7O01JsDfJXZtgY=
yzhfangdin4,推荐,"['总时数', '52.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 35  项产品,好！好！好！,AoJ4h7O01JsDfJXZtgY=
神,推荐,"['总时数', '15.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 11  项产品,艺术,AoJw3+ST1JsDderStgY=
1007767407,推荐,"['总时数', '67.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,除了战斗体验太差，其他都好。,AoJw3+ST1JsDderStgY=
神秘静步男,推荐,"['总时数', '29.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩，没什么可说的个人感觉非常简单，期待下一部黑神话,AoJw3+ST1JsDderStgY=
zz,推荐,"['总时数', '59.3', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 20  项产品,好玩,AoJw3+ST1JsDderStgY=
一一,推荐,"['总时数', '29.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 6  项产品,好玩爱玩,AoJw3+ST1JsDderStgY=
Eyjafjalla,推荐,"['总时数', '44.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,什么时候打上天庭救四妹,AoJw3+ST1JsDderStgY=
轻纤碎影,推荐,"['总时数', '46.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 18  项产品,好玩的很 ,AoJw3+ST1JsDderStgY=
夜航星,推荐,"['总时数', '9.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,可以，不过手残党天天被虐......,AoJw3+ST1JsDderStgY=
XDD,推荐,"['总时数', '84.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 90  项产品,好玩！,AoJw3+ST1JsDderStgY=
gnb,推荐,"['总时数', '14.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩 ,AoJw3+ST1JsDderStgY=
惘然,推荐,"['总时数', '16.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,非常适合魂类游戏入门玩家游玩,AoJ4o8P005sDcJHOtgY=
早睡晚起,推荐,"['总时数', '102.2', '小时']",,0,1 人觉得这篇评测有价值				0,0,,对我来说，非常满意的一款游戏，非常非常满意。,AoJ4o8P005sDcJHOtgY=
365873037,推荐,"['总时数', '13.1', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好,AoJ4o8P005sDcJHOtgY=
328916541,推荐,"['总时数', '26.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 38  项产品,好玩,AoJ4o8P005sDcJHOtgY=
Furina,推荐,"['总时数', '8.9', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 19  项产品,支持国产3A,AoJ4o8P005sDcJHOtgY=
1554848206,推荐,"['总时数', '131.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩,AoJ4o8P005sDcJHOtgY=
zlovey999,推荐,"['总时数', '21.3', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 20  项产品,好玩,AoJ4o8P005sDcJHOtgY=
why在除草,推荐,"['总时数', '9.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 8  项产品,25年补票,AoJ4o8P005sDcJHOtgY=
425998522,推荐,"['总时数', '183.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,111,AoJ4o8P005sDcJHOtgY=
肘可儿,不推荐,"['总时数', '53.9', '小时']",,0,有 2 人觉得这篇评测有价值有 1 人觉得这篇评测很欢乐				0,0,帐户内拥有 83  项产品,有的成就一周目错过了居然后期无法补救，只能强开二周目，无敌了。,AoJ4o8P005sDcJHOtgY=
诺丶,不推荐,"['总时数', '31.7', '小时']",,0,有 2 人觉得这篇评测有价值有 2 人觉得这篇评测很欢乐				0,0,帐户内拥有 282  项产品,本着支持国产买的，太让人失望了，太垃圾了，武打的游戏没有格挡，游戏不带地图，动作缓慢不流畅，连招不流畅，跑起来像快走，只能说垃圾，以后不买国产了。,AoJ4qKfh05sDdsLLtgY=
卡塔库栗,推荐,"['总时数', '341.9', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好 玩,AoJ4qKfh05sDdsLLtgY=
hide on,推荐,"['总时数', '12.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 16  项产品,很棒,AoJ4qKfh05sDdsLLtgY=
cadiaN,推荐,"['总时数', '10.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 13  项产品,好玩的,AoJ4qKfh05sDdsLLtgY=
983512174,推荐,"['总时数', '11.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩,AoJ4qKfh05sDdsLLtgY=
1758081175,推荐,"['总时数', '20.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,重点BOSS房门口放复活点好评,AoJ4qKfh05sDdsLLtgY=
1325515843,推荐,"['总时数', '45.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩   国产游戏的开山巨作！,AoJ4qKfh05sDdsLLtgY=
851563163,推荐,"['总时数', '55.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 82  项产品,好,AoJ4qKfh05sDdsLLtgY=
泽姜,推荐,"['总时数', '3.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,挺好的,AoJ4qKfh05sDdsLLtgY=
逻各斯,推荐,"['总时数', '17.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 75  项产品,目前打完前三章 第一章感觉一般 地图辨识度很差 空气墙确实有点莫名其妙 有地图的情况下也容易迷路 第二 第三章目前都有这个问题第二章 前半段体验也一般 光影效果很糟糕 但从这一章开始美术与画质的优势凸显了 后半段连续的boss战效果优异 体验不错第三章 总体比第二章效果更好 浮屠塔的压抑感不错 梦回魂游推图时的小心翼翼 但从苦海北岸开始 糟糕的地图辨识度又开始浮现了 但最后和黄眉演出很出彩 虽然打着感觉像黏狗屎 但最后和金蝉子的动画我很喜欢 这种言有尽而意无穷式的留白是我的喜好区后续打完会继续留言 打分会留在最后打完,AoJ4qKfh05sDdsLLtgY=
404星球,推荐,"['总时数', '10.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩,AoJ4g5Gn05sDfq3FtgY=
28774931,推荐,"['总时数', '163.3', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,666,AoJ4g5Gn05sDfq3FtgY=
烦,推荐,"['总时数', '41.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,第一次玩这种游戏，除了一直迷路和有点菜以外真的很好玩,AoJ4g5Gn05sDfq3FtgY=
恶无边,推荐,"['总时数', '12.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 42  项产品,好玩，很满意，满分👍🏼除了地图对我这种路痴来说还是有些难分辨🌚。游戏保底游玩时间不用多说了，懂的都懂，开风铃月影一整天玩也够呛能结束。没想到地图这么大了，但处处细节都设计的很完美，特别是看过场动画的时候，画面比电影还舒服😋小怪和头目小妖的模型也很润，我本来以为一开头二郎神看着就怪怪的，害怕后面都是这种感觉，但后面除了天命🐒的头发有这种感觉，其他都角色模型都没什么问题💅🏼。打斗也是很爽，特别是我拿回了大圣真正的力量🌚 ,AoJ4g5Gn05sDfq3FtgY=
神秘鲁尼,推荐,"['总时数', '48.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,不赖,AoJ4g5Gn05sDfq3FtgY=
瑾辰,推荐,"['总时数', '57.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 39  项产品,在玩过只狼后上手黑猴并不困难，经过第一周目的通关后第二第三周目都在速通，每次看到第四章结局时的cg都会感到非常感动，最让我印象深刻的boss还是大圣，无论是美术还是音乐都很优秀，不过有时候boss战过于紧凑，总体来说是个好游戏，圆满了小时候的大圣梦，希望后续能过推出更多的拓展，体验包括狮驼岭，白骨精等更多的boss，对于第一款国产3A，做成这样已经非常优秀了，望以后继续推出更多的优质游戏，提升国人的游戏审美，也让更多的中国文化走出国门，通过第九艺术的形式走进世界视野,AoJ4g5Gn05sDfq3FtgY=
玄枵,推荐,"['总时数', '20.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 28  项产品,111,AoJ4g5Gn05sDfq3FtgY=
雨夜杂良,推荐,"['总时数', '16.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,vhzdghdrh,AoJ4g5Gn05sDfq3FtgY=
王木又威,推荐,"['总时数', '12.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 31  项产品,老子老是闪退是怎么回事,AoJ4g5Gn05sDfq3FtgY=
雾瓷盏,推荐,"['总时数', '27.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,目前按全成就打的，总体来说打斗特效，剧情，人物铺垫都很好，画质方面4060开DLSS基本无卡顿，新手刚开始会有点红温，打熟练了，找到方法就好了,AoJ4g5Gn05sDfq3FtgY=
牢红大,推荐,"['总时数', '8.1', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 19  项产品,hhhh,AoJwq4j10psDcqPAtgY=
x1q,推荐,"['总时数', '13.1', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 89  项产品,空气墙有点太僵硬，风景给人的感觉像是疯狂渲染细节但是没有实质美感的产物，说到风景我现在的脑海中浮现出来的只有一些非常精细的石头。特效的光效给我一种低廉的感觉，总体来说游戏的优点是得益于科技的发展带来的泛滥的画面提升，而非游戏性。不过现在游戏行业简直一坨，所以值得一玩,AoJwq4j10psDcqPAtgY=
你个大怨种,推荐,"['总时数', '71.9', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,能够更好玩,AoJwq4j10psDcqPAtgY=
lipeng,推荐,"['总时数', '42.1', '小时']",,0,1 人觉得这篇评测有价值				0,0,,太好玩了，一开始不太熟练的时候试个几遍也能打过boss，一直到黄风大圣卡了好久，总共三个多小时才打过，第三章一开始打得还算顺利，浮屠界那块很有感觉，我一路丝血逃亡通过不断的搞灵蕴回复葫芦，以及广智救我！出了浮屠界我一路走走走，错过所有支线，直接走到关底了，后来看老戴的解说攻略才逐步把那么大个庙给探索完，另外黄眉二阶段我也试了三小时多才打过，当时看老戴用禁字诀打，这会儿我那支线还没做呢，另外老戴还说当时第一遍直接过了，不过这对我来说还是很难打。总之艰难地打过之后，探索完漏掉的部分后，我就去第四章了，盘丝岭我一开始就探得很仔细，没漏东西。到了打小黄龙那块我一开始莽了几次，发现打不过，然后我发现他的攻击欲望不是很强，然后我就用禁字诀外加参势丸，一直卡距离给他劈死了。再后来到了黄花观，没找着路，看了眼老戴之后找着了，之后去了紫云山，打晦月魔君的时候，毒敌大王突然来帮我，吓了我一跳，然后我就同时打他们俩，谁血多就打谁，最后还不忘抢下人头，几棍子打死毒敌后又几棍子打掉晦月魔君一阶段。然后打百眼魔君时，一开始没打过，然后想着去看看另一条路有什么，结果刚要上去时听见四妹喊快走！！！，然后我真走了，想着打完关底boss应该还能再去吧，结果打完之后发现没有了，后来看了一下老戴才知道发生了什么。。。第六章的王灵官我是用立辊给他干死的。到了第五章，打得蛮顺的，八戒变成铁扇公主的样子逗火焰山土地那段真笑死我了，另外你牛哥和马哥竟然都寄了，不！！！我还想和马哥宽怀畅饮呢。打碧水金睛兽时想着钻缝休整一下去第二个用冰属性的那个地方打，结果好几次找不到那个缝，后来才发现要等碧水金睛兽撞开，然后成功地在第二个场地击败它了。到了第六章，我紧跟老戴的步伐，集齐了大圣套装，也把第六章其他头目都打了，因为这时我提前看了老戴攻略里的结局a，所以我就打算打结局b，然后我直接回去打二郎神，按照老戴的配点去打，最后在还魂丹和一些其他丹药的帮助下打过了。然后我便去打最终boss大圣残躯，试了几次之后成功打过。章节动画真得帅，每一章的动画都非常优秀，最后放的音乐非常好听，很有深意。,AoJwq4j10psDcqPAtgY=
2306428010,推荐,"['总时数', '13.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 5  项产品,好玩，死了好几次,AoJwq4j10psDcqPAtgY=
啊啊啊啊啊,推荐,"['总时数', '43.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 16  项产品,666,AoJwq4j10psDcqPAtgY=
349326860,推荐,"['总时数', '7.1', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,光影画质太优秀了，不过代价是必须要好显卡,AoJwq4j10psDcqPAtgY=
Sasori,推荐,"['总时数', '63.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 84  项产品,好玩,AoJwq4j10psDcqPAtgY=
Aurroa@,推荐,"['总时数', '31.3', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 35  项产品,king,AoJwq4j10psDcqPAtgY=
545930944,推荐,"['总时数', '71.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 9  项产品,无需多言，真神是也,AoJwq4j10psDcqPAtgY=
2393063436,推荐,"['总时数', '84.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好,AoJw9fnY0ZsDfriqtgY=
1933380,推荐,"['总时数', '30.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,6666,AoJw9fnY0ZsDfriqtgY=
15694934040,推荐,"['总时数', '15.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,国产游戏支持，特别好玩,AoJw9fnY0ZsDfriqtgY=
汉克,推荐,"['总时数', '46.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 38  项产品,很优秀的一款游戏，耗时40小时通关，谈一下我游玩感受。先说优点，打击感很强，战斗非常非常爽，我个人认为黑猴并不是什么魂类，没有死亡惩罚，基本每个BOSS前都有复活点。难度方面我感觉并不是很高，不知道是不是说削过的问题，我也不会什么高端操作，全靠闪身，没有BOSS能卡超过十次的。画面精美，纯中式。还有很强的代入感，这点是国外3a没法对比的，毕竟小时候谁还没有个齐天大圣的梦想。国外的游戏要么需要花时间了解背景后可以沉浸进去，要么完全无法代入。再吐槽下缺点，后期赶工，第五章勉强还行，第六章明显赶工，硬要做成半开放，也就收集大圣套转和杨戬大圣残躯的BOSS战能吸引到我了。优化很差，调整过画质后偶尔还会卡顿一下。空气墙也有不少，不过我个人感觉影响不大，毕竟是线性游戏。总体来说瑕不掩瑜，依旧是一款非常优秀非常值得玩的国产3a,AoJw9fnY0ZsDfriqtgY=
我是不生气玩家,推荐,"['总时数', '9.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好,AoJw9fnY0ZsDfriqtgY=
Sq root of Dragon,推荐,"['总时数', '101.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 77  项产品,。,AoJw9fnY0ZsDfriqtgY=
20LEGEND,推荐,"['总时数', '17.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,伟大的作品。顶级美术设计和故事内核。,AoJw9fnY0ZsDfriqtgY=
Shadder2K,推荐,"['总时数', '35.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 43  项产品,免费获取的产品GOOD,AoJw9fnY0ZsDfriqtgY=
琴棋书画诗酒茶,推荐,"['总时数', '99.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 10  项产品,爽玩,AoJw9fnY0ZsDfriqtgY=
tae0220,推荐,"['总时数', '46.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,真好玩,AoJw9fnY0ZsDfriqtgY=
savor,推荐,"['总时数', '72.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 101  项产品,补个好评,AoJ4862z0ZsDcvWktgY=
哲,推荐,"['总时数', '82.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 7  项产品,非常好,AoJ4862z0ZsDcvWktgY=
手枪站循环,推荐,"['总时数', '38.1', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 11  项产品,6,AoJ4862z0ZsDcvWktgY=
鲸落,推荐,"['总时数', '309.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,优秀、好玩,AoJ4862z0ZsDcvWktgY=
Arya,推荐,"['总时数', '223.9', '小时']",,0,1 人觉得这篇评测有价值				0,0,帐户内拥有 11  项产品,国产神话游戏，期待DLC，加油加油,AoJ4862z0ZsDcvWktgY=
伍陆柒,推荐,"['总时数', '11.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 10  项产品,很好,AoJ4862z0ZsDcvWktgY=
清渝潵,推荐,"['总时数', '5.1', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,太容易红温了,AoJ4862z0ZsDcvWktgY=
唐门丨唐逸辰,推荐,"['总时数', '73.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 5  项产品,画面精美 剧情连贯 音乐好听,AoJ4862z0ZsDcvWktgY=
